Question,Prediction,Ground_Truth,ExactMatch,F1Score,Latency(s),Total_Tokens,Input_Tokens,Output_Tokens
"When was Poison's album ""Shut Up, Make Love"" released?","The album ""Shut Up, Make Love"" was not released by Poison, as it is a song",2000,0.0,0.0,119.91,49209,27554,6468
"Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?","Hayden is from Canada, and Buck-Tick hails from Japan","Fujioka, Gunma",0.0,0.0,69.08,36528,24832,4330
Which  French ace pilot and adventurer fly L'Oiseau Blanc,Charles Nungesser,Charles Eugène,0.0,0.5,85.76,41553,26468,6665
Are Freakonomics and In the Realm of the Hackers both American documentaries?,no,no,1.0,1.0,51.76,33808,25925,3479
"Which band, Letters to Cleo or Screaming Trees, had more members?",Letters to Cleo had more members,Letters to Cleo,0.0,0.6666666666666666,68.41,37439,26260,4526
Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?,No,October 1922,0.0,0.0,156.28,59931,30326,8833
Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?,2000,2000,1.0,1.0,62.43,34417,24729,3383
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,World War II,1.0,1.0,102.94,43489,25106,4556
Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,no,no,1.0,1.0,47.32,32310,25258,3096
Ralph Hefferline was a psychology professor at a university that is located in what city?,New York City,New York City,1.0,1.0,52.77,32838,25004,3329
Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?,Scotch Collie,Scotch Collie,1.0,1.0,102.25,45736,27995,5580
Where is the company that Sachin Warrier worked for as a software engineer headquartered? ,"Mumbai, Maharashtra",Mumbai,0.0,0.6666666666666666,97.59,41477,24783,3430
"A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?",1962,1962,1.0,1.0,49.27,34905,27111,3628
The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia?,Ethiopian sovereignty and independence,sovereignty,0.0,0.4,79.81,41269,27923,5667
Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,Nelson Rockefeller,Nelson Rockefeller,1.0,1.0,87.72,44114,28981,4628
"A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?",Firth of Forth,Yellowcraig,0.0,0.0,92.80,43803,26778,5721
Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono?,Phil Spector,Phil Spector,1.0,1.0,92.96,46643,30092,4289
What type of forum did a former Soviet statesman initiate?,Mikhail Gorbachev initiated The World Summit of Nobel Peace Laureates,Organizations could come together to address global issues,0.0,0.0,97.50,44787,28192,4838
Are Ferocactus and Silene both types of plant?,yes,yes,1.0,1.0,94.50,42857,25845,5003
Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?,No,English Electric Canberra,0.0,0.0,132.52,52566,28212,6714
Which year and which conference was the 14th season for this conference as part of the NCAA Division that the Colorado Buffaloes played in with a record of 2-6 in conference play?,,2009 Big 12 Conference,0.0,0.0,149.54,53587,26687,6792
In 1991 Euromarché was bought by a chain that operated how any hypermarkets at the end of 2016?,"Carrefour operated 1,462 hypermarkets at the end of 2016","1,462",0.0,0.2222222222222222,78.51,39545,25935,3735
What race track in the midwest hosts a 500 mile race eavery May?,Indianapolis Motor Speedway hosts the Indianapolis 500,Indianapolis Motor Speedway,0.0,0.6666666666666666,132.12,51770,27405,6560
"In what city did the ""Prince of tenors"" star in a film based on an opera by Giacomo Puccini?",Franco Corelli,Rome,0.0,0.0,127.27,47856,26198,4376
"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha, Ilya Salmanzadeh, Tove Lo, Ali Payami","Max Martin, Savan Kotecha and Ilya Salmanzadeh",0.0,0.7058823529411764,99.54,45783,28457,6601
Which Australian city founded in 1838 contains a boarding school opened by a Prime Minister of Australia and named after a school in London of the same name.,"Marion, Westminster School, Robert Menzies","Marion, South Australia",0.0,0.25,111.89,48908,28769,4661
D1NZ is a series based on what oversteering technique?,Drifting,Drifting,1.0,1.0,77.45,38260,25266,4256
who is younger Keith Bostic or Jerry Glanville ?,Keith Bostic,Keith Bostic,1.0,1.0,48.89,33160,25353,3216
"According to the 2001 census, what was the population of the city in which Kirton End is located?","35,124","35,124",1.0,1.0,96.23,42424,26172,4074
Are both Cypress and Ajuga genera?,no,no,1.0,1.0,103.98,44139,24986,6479
What distinction is held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting?,Shortest,shortest player ever to play in the National Basketball Association,0.0,0.19999999999999998,115.63,50070,29676,5417
What is the name of the executive producer of the film that has a score composed by Jerry Goldsmith?,Ronald Shusett,Ronald Shusett,1.0,1.0,143.10,54813,27480,6937
"Who was born earlier, Emma Bull or Virginia Woolf?",Virginia Woolf,Adeline Virginia Woolf,0.0,0.8,64.09,34388,24129,3605
What was the Roud Folk Song Index of the nursery rhyme inspiring What Are Little Girls Made Of?,821,821,1.0,1.0,75.84,37859,24980,4015
Scott Parkin has been a vocal critic of Exxonmobil and another corporation that has operations in how many countries ?,70 countries,more than 70 countries,0.0,0.6666666666666666,88.19,40091,24836,3912
What WB supernatrual drama series was Jawbreaker star Rose Mcgowan best known for being in?,Charmed,Charmed,1.0,1.0,102.09,44573,26971,5443
Vince Phillips held a junior welterweight title by an organization recognized by what larger Hall of Fame?,International Boxing Hall of Fame,International Boxing Hall of Fame,1.0,1.0,104.81,46604,28152,4443
"What is the name of the singer who's song was released as the lead single from the album ""Confessions"", and that had popular song stuck behind for eight consecutive weeks?",Usher,Usher,1.0,1.0,119.30,50793,29262,5062
who is the younger brother of The episode guest stars of The Hard Easy ,Bill Murray,Bill Murray,1.0,1.0,117.12,46484,26072,4830
The 2017–18 Wigan Athletic F.C. season will be a year in which the team competes in the league cup known as what for sponsorship reasons?,Carabao Cup,Carabao Cup,1.0,1.0,67.59,38014,27143,4379
"Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?",Raven,Teen Titans Go!,0.0,0.0,115.92,47086,26778,5279
What is the inhabitant of the city where  122nd SS-Standarte was formed in2014,No,"276,170 inhabitants",0.0,0.0,134.88,51904,27824,6590
What color clothing do people of the Netherlands wear during Oranjegekte or to celebrate the national holiday Koningsdag? ,Orange,orange,1.0,1.0,75.97,38974,26674,4867
"What was the name of the 1996 loose adaptation of William Shakespeare's ""Romeo & Juliet"" written by James Gunn?",Tromeo,Tromeo and Juliet,0.0,0.5,120.09,49646,27817,5589
Robert Suettinger was the national intelligence officer under which former Governor of Arkansas?,Bill Clinton,William Jefferson Clinton,0.0,0.4,89.73,41194,25494,4788
What American professional Hawaiian surfer born 18 October 1992 won the Rip Curl Pro Portugal?,John John Florence,John John Florence,1.0,0.6666666666666666,100.41,43205,26054,5037
What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness?,Ann,Ann,1.0,1.0,108.46,43390,24955,4558
Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,Ais native population,Apalachees,0.0,0.0,116.21,43133,26839,4297
What nationality were social anthropologists Alfred Gell and Edmund Leach?,British,British,1.0,1.0,48.92,32088,24727,3299
In which year was the King who made the 1925 Birthday Honours born?,1865,1865,1.0,1.0,75.20,37851,24680,3614
"What is the county seat of the county where East Lempster, New Hampshire is located?",Newport,Newport,1.0,1.0,95.97,41830,25358,4291
The Album Against the Wind was the 11th Album of a Rock singer Robert C Seger born may 6 1945. What was the Rock singers stage name ?,Bob Seger,Bob Seger,1.0,1.0,71.77,39672,27116,4601
Rostker v. Goldberg held that the practice of what way of filling armed forces vacancies was consitutional?,Requiring only men to register for the draft,Conscription,0.0,0.0,68.93,40815,28827,4992
"Handi-Snacks are a snack food product line sold by what American multinational confectionery, food, and beverage company that is based in Illinois?",Mondelez International,"Mondelez International, Inc.",0.0,0.8,74.55,38661,25671,3906
"What was the name of a woman from the book titled ""Their Lives: The Women Targeted by the Clinton Machine "" and was also a former white house intern?",Monica Lewinsky,Monica Lewinsky,1.0,1.0,114.01,48894,28430,6062
"When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?",April,"April 1, 1949",0.0,0.5,108.87,46556,27034,4242
"In what year was the novel that Lourenço Mutarelli based ""Nina"" on based first published?",1866,1866,1.0,1.0,79.04,38754,24719,4367
Where are Teide National Park and Garajonay National Park located?,"Teide National Park is on Tenerife, Canary Islands, Spain","Canary Islands, Spain",0.0,0.5,75.62,39546,25871,5936
How many copies of Roald Dahl's variation on a popular anecdote sold?,Specific sales figures for 'Mrs,250 million,0.0,0.0,108.41,44082,25266,5204
What occupation do Chris Menges and Aram Avakian share?,Director,director,1.0,1.0,84.84,40729,25097,6364
Andrew Jaspan was the co-founder of what not-for-profit media outlet?,The Conversation,The Conversation,1.0,1.0,64.39,36515,25404,4824
Which American film director hosted the 18th Independent Spirit Awards in 2002?,John Waters,John Waters,1.0,1.0,78.59,38627,24520,3976
Where does the hotel and casino located in which Bill Cosby's third album was recorded?,"Las Vegas, Nevada, USA",Las Vegas Strip in Paradise,0.0,0.4444444444444445,79.58,38812,25048,4968
Do the drinks Gibson and Zurracapote both contain gin?,no,no,1.0,1.0,61.40,35446,24793,4599
"In what month is the annual documentary film festival, that is presented by the fortnightly published British journal of literary essays, held? ",March and April,March and April,1.0,1.0,93.48,42137,25984,4478
Tysons Galleria is located in what county?,Fairfax County,Fairfax County,1.0,1.0,61.77,36243,25510,5208
Bordan Tkachuk was the CEO of a company that provides what sort of products?,Yes,IT products and services,0.0,0.0,85.38,42230,27098,4139
"Which filmmaker was known for animation, Lev Yilmaz or Pamela B. Green?",Lev Yilmaz,Levni Yilmaz,0.0,0.5,64.77,38078,27208,4153
In which city is the ambassador of the Rabat-Salé-Kénitra administrative region to China based?,Beijing,Beijing,1.0,1.0,105.85,45956,27865,5825
Are Yingkou and Fuding the same level of city?,no,no,1.0,1.0,71.42,36224,23521,4803

Summary,,,,,,,,
Exact Match,,,0.5600,,,,,
F1 Score,,,0.6900,,,,,
Latency/Q (s),,,93.35,,,,,
Total Latency (s),,,9335.45,,,,,
Tokens/Q,,,42565,,,42565,26368,4800
Examples,,,100,,,,,
